country,date,State,Dublin
Great Britain,1911,79362,28010
Great Britain,1926,49354,19421
Great Britain,1936,46973,20054
Great Britain,1946,49444,19376
Great Britain,1961,53796,22164
Great Britain,1971,84038,30453
Great Britain,1981,146408,40596
Great Britain,1986,141254,37654
Great Britain,1991,137865,37047
Great Britain,1996,158144,40011
Great Britain,2002,211831,49223
Great Britain,2006,233779,47085
Great Britain,2011,243677,47845
Great Britain,2016,230892,46026
England and Wales,1911,0,0
England and Wales,1926,0,0
England and Wales,1936,35884,16049
England and Wales,1946,39289,15938
England and Wales,1961,45463,18900
England and Wales,1971,75189,27121
England and Wales,1981,133831,37002
England and Wales,1986,128668,34244
England and Wales,1991,126487,33965
England and Wales,1996,145640,36732
England and Wales,2002,194248,44452
England and Wales,2006,215511,42801
England and Wales,2011,223877,43590
England and Wales,2016,213003,41980
Scotland,1911,0,0
Scotland,1926,0,0
Scotland,1936,11089,4005
Scotland,1946,10155,3438
Scotland,1961,8333,3264
Scotland,1971,8849,3332
Scotland,1981,12577,3594
Scotland,1986,12586,3410
Scotland,1991,11378,3082
Scotland,1996,12504,3279
Scotland,2002,17583,4771
Scotland,2006,18268,4284
Scotland,2011,19800,4255
Scotland,2016,17889,4046
U.S.A.,1911,9339,994
U.S.A.,1926,9405,1129
U.S.A.,1936,10111,1339
U.S.A.,1946,8509,1333
U.S.A.,1961,6447,1527
U.S.A.,1971,11145,3153
U.S.A.,1981,16591,4243
U.S.A.,1986,15350,4112
U.S.A.,1991,14533,4457
U.S.A.,1996,18753,5529
U.S.A.,2002,28063,7815
U.S.A.,2006,32380,8986
U.S.A.,2011,34617,10019
U.S.A.,2016,38427,12302
Other Countries,1911,11260,5117
Other Countries,1926,8317,4026
Other Countries,1936,8412,4294
Other Countries,1946,7426,4040
Other Countries,1961,11579,6697
Other Countries,1971,15930,8651
Other Countries,1981,28829,13632
Other Countries,1986,30858,14102
Other Countries,1991,40341,17584
Other Countries,1996,53171,23973
Other Countries,2002,155701,74155
Other Countries,2006,349683,148757
Other Countries,2011,477722,198837
Other Countries,2016,537712,225193