region,date,type,value
Dublin,2008,Under 10,110655
Dublin,2009,Under 10,104567
Dublin,2010,Under 10,102938
Dublin,2011,Under 10,103804
Dublin,2012,Under 10,106458
Dublin,2013,Under 10,107488
Dublin,2014,Under 10,109339
Dublin,2015,Under 10,113084
Dublin,2016,Under 10,114706
Dublin,2008,10 - 19,50553
Dublin,2009,10 - 19,45344
Dublin,2010,10 - 19,42470
Dublin,2011,10 - 19,41775
Dublin,2012,10 - 19,40625
Dublin,2013,10 - 19,41403
Dublin,2014,10 - 19,43202
Dublin,2015,10 - 19,45347
Dublin,2016,10 - 19,47869
Dublin,2008,20 - 49,73751
Dublin,2009,20 - 49,64145
Dublin,2010,20 - 49,59865
Dublin,2011,20 - 49,58377
Dublin,2012,20 - 49,59353
Dublin,2013,20 - 49,59269
Dublin,2014,20 - 49,61973
Dublin,2015,20 - 49,64433
Dublin,2016,20 - 49,69265
Dublin,2008,50 - 249,131715
Dublin,2009,50 - 249,112738
Dublin,2010,50 - 249,103910
Dublin,2011,50 - 249,107161
Dublin,2012,50 - 249,104830
Dublin,2013,50 - 249,108445
Dublin,2014,50 - 249,116747
Dublin,2015,50 - 249,125927
Dublin,2016,50 - 249,133238
Dublin,2008,250 and over,307999
Dublin,2009,250 and over,289583
Dublin,2010,250 and over,280014
Dublin,2011,250 and over,273132
Dublin,2012,250 and over,278909
Dublin,2013,250 and over,286896
Dublin,2014,250 and over,291519
Dublin,2015,250 and over,305332
Dublin,2016,250 and over,323719