date,region,value
2000,State,25494
2001,State,28515
2002,State,31346
2003,State,32925
2004,State,34533
2005,State,36509
2006,State,38426
2007,State,39846
2008,State,37558
2009,State,34157
2010,State,33455
2011,State,34336
2012,State,34961
2013,State,35789
2014,State,38400
2015,State,52461
2000,Dublin,36128
2001,Dublin,39721
2002,Dublin,40858
2003,Dublin,44185
2004,Dublin,48055
2005,Dublin,53108
2006,Dublin,54196
2007,Dublin,56119
2008,Dublin,54480
2009,Dublin,49941
2010,Dublin,51062
2011,Dublin,50593
2012,Dublin,52137
2013,Dublin,56483
2014,Dublin,62594
2015,Dublin,null
2000,Dublin plus Mid East,32336
2001,Dublin plus Mid East,35703
2002,Dublin plus Mid East,36816
2003,Dublin plus Mid East,38996
2004,Dublin plus Mid East,42243
2005,Dublin plus Mid East,46066
2006,Dublin plus Mid East,47936
2007,Dublin plus Mid East,49627
2008,Dublin plus Mid East,47517
2009,Dublin plus Mid East,43220
2010,Dublin plus Mid East,43289
2011,Dublin plus Mid East,42556
2012,Dublin plus Mid East,43711
2013,Dublin plus Mid East,47233
2014,Dublin plus Mid East,52234
2015,Dublin plus Mid East,null