region,Dublin City,Dun Laoghaire-Rathdown,Fingal,South Dublin
No formal education,4635,922,1697,1944
Primary,56817,10095,13548,22190
Lower secondary,50840,13479,22454,28623
Upper secondary,58906,25771,36996,36572
Technical/vocational,24356,8873,15616,15316
Advanced certificate/completed apprenticeship,13813,5329,9905,9553
Higher certificate,12729,6446,8905,7534
Ordinary bachelor degree/professional qualification or both,25157,13808,15205,12323
Honours bachelor degree/professional qualification or both,42241,22549,19420,15007
Postgraduate diploma or degree,41371,21984,16081,11895
Doctorate (Ph.D.),4636,2859,1423,1030