date,Region,Units,Hectares
2000,Dublin City Council,12740,153
2002,Dublin City Council,23874,138
2004,Dublin City Council,29160,219
2006,Dublin City Council,58227,479
2008,Dublin City Council,65389,472
2010,Dublin City Council,54498,495
2012,Dublin City Council,51845,433
2014,Dublin City Council,29694,298
2000,Dun Laoghaire-Rathdown,7146,136
2002,Dun Laoghaire-Rathdown,10071,213
2004,Dun Laoghaire-Rathdown,13388,252
2006,Dun Laoghaire-Rathdown,20604,342
2008,Dun Laoghaire-Rathdown,26793,428
2010,Dun Laoghaire-Rathdown,19282,400
2012,Dun Laoghaire-Rathdown,18146,398
2014,Dun Laoghaire-Rathdown,19710,399
2000,Fingal,34721,1174
2002,Fingal,37115,1288
2004,Fingal,35623,1134
2006,Fingal,43863,1161
2008,Fingal,19361,511
2010,Fingal,21808,617
2012,Fingal,28612,846
2014,Fingal,36025,1159
2000,South Dublin,12410,365
2002,South Dublin,25640,618
2004,South Dublin,34022,664
2006,South Dublin,39660,814
2008,South Dublin,37477,797
2010,South Dublin,41069,854
2012,South Dublin,33563,898
2014,South Dublin,31276,798